номер_документа,дата_документа,вид_операции,контрагент,инн_контрагента,кпп_контрагента,договор,номер_договора,регистрационный_номер_договора,дата_регистрации_договора,цфо_договор,статья_ддс,статья_начисления,внутренний_номер_в_до,источник_договора,валюта_документа,п_п,номенклатура,содержание_услуги,этап_проекта_документ,цфо_документ,ндс,ндс_2,сумма,сумма_включает_ндс,счет_доходов,номенклатурная_группа,счет_затрат,номенклатурная_группа_2,статьи_затрат
МКУХ-005299,01.03.2026 23:59:59,Услуги,СМС ТРАФИК ООО,7705642257,772301001,МК25-003 от 13.02.2025,МК25-003,MK25-01-3-LC,31.01.2025 11:06:12,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000184492,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Департамент процессинга,22%,164134.06,910197.78,Да,\N,\N,20.01,SMS: формирование и отправка сообщений,SMS-СЕРВИС: услуги связи по операциям Держателей карт Банка (11020416)
"Поступление (акт, накладная, УПД) МКУХ-005300 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002482 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005300,01.03.2026 23:59:59,Услуги,СКЛ ИЛИ АО СМАРТКАРДЛИНК АО,7734198004,772301001,Договор №101108/ТКК от 10.11.08,101108/ТКК,ФУ 02048/МК,16.06.2022 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148350,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи смс - информирование,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Департамент процессинга,22%,21597.42,119767.52,Да,\N,\N,20.01,SMS: формирование и отправка сообщений,SMS-СЕРВИС: услуги связи по операциям Держателей карт Банка (11020416)
"Поступление (акт, накладная, УПД) МКУХ-005306 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002516 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005306,01.03.2026 23:59:59,Услуги,КРЭЛКОМ ООО,9102031188,910201001,5474 от 23.04.2025,5474,MK25-03-17-LC,26.03.2025 14:51:08,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000191590,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,215554.5,1195347.67,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005358 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002653 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005358,01.03.2026 23:59:59,Услуги,ВТБ МОБАЙЛ ООО,9705121882,771401001,№04-01Э/9 от 11.02.2026г,№04-01Э/9,\N,\N,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",\N,УХ,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,21581.56,119679.56,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005359 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002654 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005359,01.03.2026 23:59:59,Услуги,ИНТЕРРА СЕВЕРО-ВОСТОК ООО,6681005215,668101001,Договор №Л-58 от 01.01.2015г.,Л-58,2127/МК,26.03.2015 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147060,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,190.48,4000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005360 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002655 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005360,01.03.2026 23:59:59,Услуги,ИНТЕРРА СЕВЕРО-ВОСТОК ООО,6681005215,668101001,Договор №Л-58 от 01.01.2015г.,Л-58,2127/МК,26.03.2015 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147060,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,190.48,4000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005361 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002656 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005361,01.03.2026 23:59:59,Услуги,ИНТЕРРА СЕВЕРО-ВОСТОК ООО,6681005215,668101001,Договор №Л-58 от 01.01.2015г.,Л-58,2127/МК,26.03.2015 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147060,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,285.71,6000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005362 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002657 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005362,01.03.2026 23:59:59,Услуги,ИНТЕРРА СЕВЕРО-ВОСТОК ООО,6681005215,668101001,Договор №Л-58 от 01.01.2015г.,Л-58,2127/МК,26.03.2015 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147060,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,5%,285.71,6000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005365 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002660 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005365,01.03.2026 23:59:59,Услуги,Т2 МОБАЙЛ ООО (КПП 997750001),7743895280,997750001,Договор №283/SMS-BULК от 01.07.2015,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,смс -информирование,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Департамент процессинга,22%,74402.89,412597.82,Да,\N,\N,20.01,SMS: формирование и отправка сообщений,SMS-СЕРВИС: услуги связи по операциям Держателей карт Банка (11020416)
"Поступление (акт, накладная, УПД) МКУХ-005366 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002662 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005366,01.03.2026 23:59:59,Услуги,ООО «Начало времён»,\N,\N,МК24-048 от,МК24-048,MK24-08-14-LC,08.08.2024 18:55:30,Блок развития бизнеса_Мультикарта,CF02011000 Прочий субподряд,Прочий субподряд,00ДО-0000159249,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Выполненные работы за февраль 26,МУЛЬТИКАРТА_11_ПСР,Блок развития бизнеса_Мультикарта,22%,309320,1715320,Нет,\N,\N,20.01,ПР: авторизации,Услуги по заказной разработке ПО (11020406)
"Поступление (акт, накладная, УПД) МКУХ-005383 от 01.03.2026 23:59:59",Отражение фактических данных МКУХ-002742 от 01.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005383,01.03.2026 23:59:59,Услуги,БАНК ВТБ (ПАО) (КПП 783543005) СЗ (аренда),7702070139,783543005,Договор Аренды N 405-07/11С от 21.07.2010г. электроэнергия,N 405-07/11С,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщика,Электроэнергия за январь 2026,Мультикарта_Операционный блок_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,Без НДС,\N,969520.54,Нет,\N,\N,26,"Расходы по аренде зданий, офисов, складских помещений (220301011)",\N
